Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
6290006f	jal	x0,100ea8	  x0=0x00000000
00000093	addi	x1,x0,0	  x0:0x00000000  x1=0x00000000
00008113	addi	x2,x1,0	  x1:0x00000000  x2=0x00000000
00008193	addi	x3,x1,0	  x1:0x00000000  x3=0x00000000
00008213	addi	x4,x1,0	  x1:0x00000000  x4=0x00000000
00008293	addi	x5,x1,0	  x1:0x00000000  x5=0x00000000
00008313	addi	x6,x1,0	  x1:0x00000000  x6=0x00000000
00008393	addi	x7,x1,0	  x1:0x00000000  x7=0x00000000
00008413	addi	x8,x1,0	  x1:0x00000000  x8=0x00000000
00008493	addi	x9,x1,0	  x1:0x00000000  x9=0x00000000
00008513	addi	x10,x1,0	  x1:0x00000000 x10=0x00000000
00008593	addi	x11,x1,0	  x1:0x00000000 x11=0x00000000
00008613	addi	x12,x1,0	  x1:0x00000000 x12=0x00000000
00008693	addi	x13,x1,0	  x1:0x00000000 x13=0x00000000
00008713	addi	x14,x1,0	  x1:0x00000000 x14=0x00000000
00008793	addi	x15,x1,0	  x1:0x00000000 x15=0x00000000
00008813	addi	x16,x1,0	  x1:0x00000000 x16=0x00000000
00008893	addi	x17,x1,0	  x1:0x00000000 x17=0x00000000
00008913	addi	x18,x1,0	  x1:0x00000000 x18=0x00000000
00008993	addi	x19,x1,0	  x1:0x00000000 x19=0x00000000
00008a13	addi	x20,x1,0	  x1:0x00000000 x20=0x00000000
00008a93	addi	x21,x1,0	  x1:0x00000000 x21=0x00000000
00008b13	addi	x22,x1,0	  x1:0x00000000 x22=0x00000000
00008b93	addi	x23,x1,0	  x1:0x00000000 x23=0x00000000
00008c13	addi	x24,x1,0	  x1:0x00000000 x24=0x00000000
00008c93	addi	x25,x1,0	  x1:0x00000000 x25=0x00000000
00008d13	addi	x26,x1,0	  x1:0x00000000 x26=0x00000000
00008d93	addi	x27,x1,0	  x1:0x00000000 x27=0x00000000
00008e13	addi	x28,x1,0	  x1:0x00000000 x28=0x00000000
00008e93	addi	x29,x1,0	  x1:0x00000000 x29=0x00000000
00008f13	addi	x30,x1,0	  x1:0x00000000 x30=0x00000000
00008f93	addi	x31,x1,0	  x1:0x00000000 x31=0x00000000
00037117	auipc	x2,0x37	  x2=0x00137f24
0dc10113	addi	x2,x2,220	  x2:0x00137f24  x2=0x00138000
00001d17	auipc	x26,0x1	 x26=0x00101f2c
db4d0d13	addi	x26,x26,-588	 x26:0x00101f2c x26=0x00101ce0
00001d97	auipc	x27,0x1	 x27=0x00101f34
e14d8d93	addi	x27,x27,-492	 x27:0x00101f34 x27=0x00101d48
01bd5863	bge	x26,x27,100f4c	 x26:0x00101ce0 x27:0x00101d48
000d2023	sw	x0,0(x26)	 x26:0x00101ce0  x0:0x00000000 PA:0x00101ce0 store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101ce0 x26=0x00101ce4
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101ce4
000d2023	sw	x0,0(x26)	 x26:0x00101ce4  x0:0x00000000 PA:0x00101ce4 store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101ce4 x26=0x00101ce8
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101ce8
000d2023	sw	x0,0(x26)	 x26:0x00101ce8  x0:0x00000000 PA:0x00101ce8 store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101ce8 x26=0x00101cec
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101cec
000d2023	sw	x0,0(x26)	 x26:0x00101cec  x0:0x00000000 PA:0x00101cec store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101cec x26=0x00101cf0
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101cf0
