Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
             20	         6	00100080	5350006f	jal	x0,100db4	  x0=0x00000000
             22	         7	00100db4	00000093	addi	x1,x0,0	  x0:0x00000000  x1=0x00000000
             24	         8	00100db8	00008113	addi	x2,x1,0	  x1:0x00000000  x2=0x00000000
             26	         9	00100dbc	00008193	addi	x3,x1,0	  x1:0x00000000  x3=0x00000000
             28	        10	00100dc0	00008213	addi	x4,x1,0	  x1:0x00000000  x4=0x00000000
             30	        11	00100dc4	00008293	addi	x5,x1,0	  x1:0x00000000  x5=0x00000000
             32	        12	00100dc8	00008313	addi	x6,x1,0	  x1:0x00000000  x6=0x00000000
             34	        13	00100dcc	00008393	addi	x7,x1,0	  x1:0x00000000  x7=0x00000000
             36	        14	00100dd0	00008413	addi	x8,x1,0	  x1:0x00000000  x8=0x00000000
             38	        15	00100dd4	00008493	addi	x9,x1,0	  x1:0x00000000  x9=0x00000000
             40	        16	00100dd8	00008513	addi	x10,x1,0	  x1:0x00000000 x10=0x00000000
             42	        17	00100ddc	00008593	addi	x11,x1,0	  x1:0x00000000 x11=0x00000000
             44	        18	00100de0	00008613	addi	x12,x1,0	  x1:0x00000000 x12=0x00000000
             46	        19	00100de4	00008693	addi	x13,x1,0	  x1:0x00000000 x13=0x00000000
             48	        20	00100de8	00008713	addi	x14,x1,0	  x1:0x00000000 x14=0x00000000
             50	        21	00100dec	00008793	addi	x15,x1,0	  x1:0x00000000 x15=0x00000000
             52	        22	00100df0	00008813	addi	x16,x1,0	  x1:0x00000000 x16=0x00000000
             54	        23	00100df4	00008893	addi	x17,x1,0	  x1:0x00000000 x17=0x00000000
             56	        24	00100df8	00008913	addi	x18,x1,0	  x1:0x00000000 x18=0x00000000
             58	        25	00100dfc	00008993	addi	x19,x1,0	  x1:0x00000000 x19=0x00000000
             60	        26	00100e00	00008a13	addi	x20,x1,0	  x1:0x00000000 x20=0x00000000
             62	        27	00100e04	00008a93	addi	x21,x1,0	  x1:0x00000000 x21=0x00000000
             64	        28	00100e08	00008b13	addi	x22,x1,0	  x1:0x00000000 x22=0x00000000
             66	        29	00100e0c	00008b93	addi	x23,x1,0	  x1:0x00000000 x23=0x00000000
